Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,2020-12-30,28628.5761567908,26895.0443432655,28871.7774246971,26762.3179097022
BTC,2020-12-31,28928.4049170589,28767.3998657406,29280.0453282743,27916.6250585376
BTC,2021-01-01,29113.6172590834,28904.3253296751,29601.5948984761,28753.412313829
BTC,2021-01-02,33021.9742393067,29061.6693577664,33064.6735343199,28936.6855381
BTC,2021-01-03,32228.073051186,32961.1798461614,34452.0803367239,29989.054667344
BTC,2021-01-04,31719.675479715,32474.6928464429,33562.5695862192,28154.1102978607
BTC,2021-01-05,33831.9257628392,31652.0575092805,34220.6978093382,29948.6536284251
BTC,2021-01-06,35531.363364927,33774.6464018164,35783.2930263574,33351.0281200728
BTC,2021-01-07,38841.8012903776,34893.9891664131,40324.0140328883,34332.5113798748
BTC,2021-01-08,40235.400845396,39045.0147189372,41962.3621250156,36741.3301768178
BTC,2021-01-09,40686.4084172693,40356.1544497758,41375.4306807605,38662.5921000353
BTC,2021-01-10,37806.0222223518,40666.3238861417,41186.5234299068,37170.5488047199
BTC,2021-01-11,32192.9848961569,37337.7719573895,38947.0482944324,30305.3000452098
BTC,2021-01-12,34226.9957453645,32231.2781553707,36566.9090630439,31412.2664491653
BTC,2021-01-13,36080.8226876291,34657.2211381288,36552.9822398816,32470.585257739
BTC,2021-01-14,39567.3269253975,36024.92123467,40066.3197563039,35731.1640573995
BTC,2021-01-15,35606.5372139615,39849.7201960081,39900.1494573346,34425.4879409361
BTC,2021-01-16,36386.9222294278,35196.3628642638,37943.5121652479,34831.8178759782
BTC,2021-01-17,35806.8456128839,36401.957612253,36820.4632625754,33870.1383757585
BTC,2021-01-18,35925.245893372,35628.3428894246,37440.4040115605,34816.2892503946
BTC,2021-01-19,36194.8276468452,36004.7804619991,37876.1589287651,35869.0562997037
BTC,2021-01-20,35207.2239343988,36309.6002696396,36795.9316550971,33430.8219917583
BTC,2021-01-21,32664.1664861626,35219.3393094389,35668.3685848359,31006.5910730737
BTC,2021-01-22,33519.4270559879,32479.3197726443,33689.8062860573,28845.3114802702
BTC,2021-01-23,32345.1196562329,33660.8966631526,33873.7729879217,31451.2963049754
BTC,2021-01-24,31210.9373878611,32398.6009069333,33088.5485468723,30987.7038591708
BTC,2021-01-25,33631.2539255284,31373.955381864,34893.984019267,31327.8127711647
BTC,2021-01-26,32213.8009600356,33429.2395872289,33459.0081445951,31062.5495278594
BTC,2021-01-27,30766.0727597268,32245.2123360199,32939.5370617435,29452.7855936193
BTC,2021-01-28,32614.1882448104,30793.1020946451,32771.9321126128,29921.9600768936
BTC,2021-01-29,33201.272547304,32615.1269905195,34364.7540570968,31984.0089164245
